archive,file_bytes,sha256,included_in_release,name,experiment_key,plate,instrument_well,biological_sample,well_position,assay,cas_variant,cas_promoter,guide_promoter,direct_repeat,donor_recruitment,guide_id,strain,replicate,timepoint,generations,control,figure,paper_panel,source_table
cas12a_precision_editing_figure1_fcs.zip,1008200,29efdabea977c284306a776329f8979d478e821d38e231c729f95faa7417e769,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_A06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),A06,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,1,11_gen,5.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,16e6605d3599aaa5870281adb8cc3aff65b7efaa96041392e66e9a52ea82a115,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_B06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),B06,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,2,11_gen,5.9,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,9d31a7eb958fcf8eea03938f9305345d8e7da99fff9610b4f40c7392bac50034,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_C05.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C05,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,1,11_gen,4.6,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,aeaa9c6b3a1c8be38200b7106e93af3728a5af00269ffba6b1880793d4677a91,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_C06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C06,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,1,11_gen,4.1,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,6deb6cada115020b823065e5b8f705fa2e07b78f7e0c5b1cf50d995be03b09f1,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_D05.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D05,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,2,11_gen,3.8,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,aeaa73cd55602fe3c3af1522e879c199c9296fbf91237ed8e9cf42ba426d4893,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_D06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D06,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,2,11_gen,4.2,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,81b290b5218ea9d6646a51ac185587b9849b8801c44a305c71d1905723274abb,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_E06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),E06,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,1,11_gen,5.5,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,142add7896a285abeb58059b12f6066d7d2c09753e3cce258fdd7229e9e8c750,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_F06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),F06,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,2,11_gen,4.2,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,bc6645b92c4dfda71a0d257900d28031f26a3cc6c47e51e9373db46d181d5474,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_G06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),G06,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,1,11_gen,4.5,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
cas12a_precision_editing_figure1_fcs.zip,1008200,16573f8f79abe254766519a8e37b0c315652b1d34d3756e4e1513007d40d7239,True,AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_H06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),H06,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,2,11_gen,4.1,no,Figure 1,GFP OFF Cas-variant time course,processed_data/GFP_OFF_vars_colonies_20260311.csv
