name,Population,Parent,Frequency,ParentFrequency
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_A06.fcs,/GFP,root,0.0015600000000000058,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_B06.fcs,/GFP,root,0.0017199999999999438,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_C05.fcs,/GFP,root,0.0008000000000000229,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_C06.fcs,/GFP,root,0.12807999999999997,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_D05.fcs,/GFP,root,0.0020000000000000018,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_D06.fcs,/GFP,root,0.11599999999999999,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_E06.fcs,/GFP,root,0.07808000000000004,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_F06.fcs,/GFP,root,0.08148,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_G06.fcs,/GFP,root,0.2610800000000001,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_H06.fcs,/GFP,root,0.25516000000000005,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_A06.fcs,/GFP,root,0.0050000000000000044,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_B06.fcs,/GFP,root,0.007960000000000078,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_C05.fcs,/GFP,root,0.0030800000000000827,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_C06.fcs,/GFP,root,0.014479999999999937,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_D05.fcs,/GFP,root,0.0014400000000001079,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_D06.fcs,/GFP,root,0.01532,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_E06.fcs,/GFP,root,0.005639999999999978,1.0
AD_20240709_cas12a_all_PGK1plateC_Experiment_12gen_F06.fcs,/GFP,root,0.0038399999999999546,1.0
VB_20241007_MbCas12a_PGK1_Experiment_T03_C3.fcs,/GFP,root,0.012759999999999994,1.0
VB_20241007_MbCas12a_PGK1_Experiment_T03_D3.fcs,/GFP,root,0.015199999999999991,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_A08.fcs,/GFP,root,0.0018000000000000238,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_B08.fcs,/GFP,root,0.0013999999999999568,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_C07.fcs,/GFP,root,0.0012799999999999478,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_C08.fcs,/GFP,root,0.03195999999999999,1.0
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day3_D07.fcs,/GFP,root,0.0007200000000000539,1.0
