name,experiment_key,plate,instrument_well,biological_sample,well_position,assay,cas_variant,cas_promoter,guide_promoter,direct_repeat,donor_recruitment,guide_id,strain,replicate,timepoint,generations,control,figure,paper_panel,raw_fcs_available_locally,source_table
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_A06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),A06,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,1,11_gen,5.8,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_B06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),B06,A5,,GFP_OFF,FnCas12a,TEF,SNR52,As_DR,,,,2,11_gen,5.9,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_C05.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C05,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,1,11_gen,4.6,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_C06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),C06,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,1,11_gen,4.1,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_D05.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D05,A2,,GFP_OFF,enAsCas12a,TEF,SNR52,As_DR,,,,2,11_gen,3.8,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_D06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),D06,A6,,GFP_OFF,LbCas12a,TEF,SNR52,As_DR,,,,2,11_gen,4.2,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_E06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),E06,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,1,11_gen,5.5,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_F06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),F06,A7,,GFP_OFF,AsCas12a,TEF,SNR52,As_DR,,,,2,11_gen,4.2,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_G06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),G06,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,1,11_gen,4.5,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
AD20240516_plate2_gfpSNR52solliquid(1)_Experiment_day2_H06.fcs,cas_variant_gfp_off,AD20240516_plate2_gfpSNR52solliquid(1),H06,A8,,GFP_OFF,MbCas12a,TEF,SNR52,As_DR,,,,2,11_gen,4.1,no,Figure 1,GFP OFF Cas-variant time course,True,processed_data/GFP_OFF_vars_colonies_20260311.csv
