promoter,donor_recruitment,cas_variant,well_position,timepoint,avg_value
RPR1,No,FnCas12a,A01,11_gen,17.716
RPR1,No,FnCas12a,A01,20_gen,26.334
RPR1,No,FnCas12a,A01,6_gen,19.759999999999998
RPR1,No,FnCas12a,A01,scraped,27.695957369148047
RPR1,No,FnCas12a,A04,11_gen,45.432
RPR1,No,FnCas12a,A04,20_gen,61.756
RPR1,No,FnCas12a,A04,6_gen,48.5112063953064
RPR1,No,FnCas12a,A04,scraped,17.80126655239695
RPR1,No,FnCas12a,A09,11_gen,71.40000000000035
RPR1,No,FnCas12a,A09,20_gen,94.7999999999999
RPR1,No,FnCas12a,A09,6_gen,1.306
RPR1,No,FnCas12a,A09,scraped,25.225776829220102
RPR1,No,FnCas12a,A12,11_gen,94.756
RPR1,No,FnCas12a,A12,20_gen,98.29
RPR1,No,FnCas12a,A12,6_gen,87.97
RPR1,No,FnCas12a,A12,scraped,6.8420000000000005
RPR1,No,FnCas12a,B05,11_gen,90.94399999999999
RPR1,No,FnCas12a,B05,20_gen,97.186
RPR1,No,FnCas12a,B05,6_gen,79.02583765577745
RPR1,No,FnCas12a,B05,scraped,23.11890781948895
RPR1,No,FnCas12a,C03,11_gen,22.729999999999997
RPR1,No,FnCas12a,C03,20_gen,32.734
RPR1,No,FnCas12a,C03,6_gen,22.73885285474355
RPR1,No,FnCas12a,C03,scraped,14.942241386246952
RPR1,No,FnCas12a,C04,11_gen,83.404
RPR1,No,FnCas12a,C04,20_gen,89.41
RPR1,No,FnCas12a,C04,6_gen,77.08
RPR1,No,FnCas12a,C04,scraped,23.431163716445898
RPR1,No,FnCas12a,C05,11_gen,4.644
RPR1,No,FnCas12a,C05,20_gen,7.088
RPR1,No,FnCas12a,C05,6_gen,4.916
RPR1,No,FnCas12a,C05,scraped,3.3099999999999996
RPR1,No,FnCas12a,E01,11_gen,99.46600000000001
RPR1,No,FnCas12a,E01,20_gen,99.584
RPR1,No,FnCas12a,E01,6_gen,99.586
RPR1,No,FnCas12a,E01,scraped,92.09859181932185
RPR1,No,FnCas12a,E02,11_gen,95.61599999999999
RPR1,No,FnCas12a,E02,20_gen,96.072
RPR1,No,FnCas12a,E02,6_gen,97.18527217399024
RPR1,No,FnCas12a,E02,scraped,98.8363284889726
RPR1,No,FnCas12a,E05,11_gen,99.53999999999999
RPR1,No,FnCas12a,E05,20_gen,99.714
RPR1,No,FnCas12a,E05,6_gen,99.304
RPR1,No,FnCas12a,E05,scraped,70.69042567166974
RPR1,No,FnCas12a,G03,11_gen,99.446
RPR1,No,FnCas12a,G03,20_gen,99.79599999999999
RPR1,No,FnCas12a,G03,6_gen,96.99199999999999
RPR1,No,FnCas12a,G03,scraped,17.708
RPR1,No,FnCas12a,H11,11_gen,98.852
RPR1,No,FnCas12a,H11,20_gen,99.326
RPR1,No,FnCas12a,H11,6_gen,93.85579399576825
RPR1,No,FnCas12a,H11,scraped,27.193785261373797
RPR1,No,enAsCas12a,A01,11_gen,94.51
RPR1,No,enAsCas12a,A01,20_gen,98.05799999999999
RPR1,No,enAsCas12a,A01,6_gen,88.148
RPR1,No,enAsCas12a,A01,scraped,5.843999999999999
RPR1,No,enAsCas12a,A04,11_gen,99.824
RPR1,No,enAsCas12a,A04,20_gen,99.842
RPR1,No,enAsCas12a,A04,6_gen,99.88
RPR1,No,enAsCas12a,A04,scraped,99.874
RPR1,No,enAsCas12a,A09,11_gen,49.33999999999994
RPR1,No,enAsCas12a,A09,20_gen,1.291999999999995
RPR1,No,enAsCas12a,A09,6_gen,2.378
RPR1,No,enAsCas12a,A09,scraped,8.208
RPR1,No,enAsCas12a,A12,11_gen,93.50200000000001
RPR1,No,enAsCas12a,A12,20_gen,91.544
RPR1,No,enAsCas12a,A12,6_gen,93.14033740975626
RPR1,No,enAsCas12a,A12,scraped,52.482
RPR1,No,enAsCas12a,B05,11_gen,47.138000000000005
RPR1,No,enAsCas12a,B05,20_gen,32.592
RPR1,No,enAsCas12a,B05,6_gen,59.462144251984654
RPR1,No,enAsCas12a,B05,scraped,20.61
RPR1,No,enAsCas12a,C03,11_gen,98.126
RPR1,No,enAsCas12a,C03,20_gen,98.00800000000001
RPR1,No,enAsCas12a,C03,6_gen,98.602
RPR1,No,enAsCas12a,C03,scraped,98.45
RPR1,No,enAsCas12a,C04,11_gen,99.27799999999999
RPR1,No,enAsCas12a,C04,20_gen,99.13
RPR1,No,enAsCas12a,C04,6_gen,91.4237736129453
RPR1,No,enAsCas12a,C04,scraped,22.938
RPR1,No,enAsCas12a,C05,11_gen,99.648
RPR1,No,enAsCas12a,C05,20_gen,99.624
RPR1,No,enAsCas12a,C05,6_gen,99.636
RPR1,No,enAsCas12a,C05,scraped,82.614
RPR1,No,enAsCas12a,E01,11_gen,99.86
RPR1,No,enAsCas12a,E01,20_gen,99.736
RPR1,No,enAsCas12a,E01,6_gen,99.884
RPR1,No,enAsCas12a,E01,scraped,99.852
RPR1,No,enAsCas12a,E02,11_gen,11.184
RPR1,No,enAsCas12a,E02,20_gen,15.515999999999998
RPR1,No,enAsCas12a,E02,6_gen,8.594
RPR1,No,enAsCas12a,E02,scraped,20.076105273562348
RPR1,No,enAsCas12a,E05,11_gen,99.108
RPR1,No,enAsCas12a,E05,20_gen,98.97
RPR1,No,enAsCas12a,E05,6_gen,99.244
RPR1,No,enAsCas12a,E05,scraped,97.94999999999999
RPR1,No,enAsCas12a,G03,11_gen,99.548
RPR1,No,enAsCas12a,G03,20_gen,99.106
RPR1,No,enAsCas12a,G03,6_gen,99.74000000000001
RPR1,No,enAsCas12a,G03,scraped,99.888
RPR1,No,enAsCas12a,H11,11_gen,29.987456790123446
RPR1,No,enAsCas12a,H11,20_gen,59.4453601789709
RPR1,No,enAsCas12a,H11,6_gen,58.45155140186915
RPR1,No,enAsCas12a,H11,scraped,42.11438813219035
RPR1,Yes,FnCas12a,A01,11_gen,18.665999999999997
RPR1,Yes,FnCas12a,A01,20_gen,24.33
RPR1,Yes,FnCas12a,A01,6_gen,18.35
RPR1,Yes,FnCas12a,A01,scraped,3.376
RPR1,Yes,FnCas12a,A04,11_gen,72.332
RPR1,Yes,FnCas12a,A04,20_gen,83.364
RPR1,Yes,FnCas12a,A04,6_gen,35.034000000000006
RPR1,Yes,FnCas12a,A04,scraped,3.628
RPR1,Yes,FnCas12a,A09,11_gen,41.13800000000025
RPR1,Yes,FnCas12a,A09,20_gen,36.230000000000096
RPR1,Yes,FnCas12a,A09,6_gen,1.426
RPR1,Yes,FnCas12a,A09,scraped,3.436
RPR1,Yes,FnCas12a,A12,11_gen,99.932
RPR1,Yes,FnCas12a,A12,20_gen,99.95400000000001
RPR1,Yes,FnCas12a,A12,6_gen,84.48599999999999
RPR1,Yes,FnCas12a,A12,scraped,9.872
RPR1,Yes,FnCas12a,B05,11_gen,97.01298630136984
RPR1,Yes,FnCas12a,B05,20_gen,99.144
RPR1,Yes,FnCas12a,B05,6_gen,93.184
RPR1,Yes,FnCas12a,B05,scraped,21.66
RPR1,Yes,FnCas12a,C03,11_gen,64.18
RPR1,Yes,FnCas12a,C03,20_gen,76.22800000000001
RPR1,Yes,FnCas12a,C03,6_gen,28.222
RPR1,Yes,FnCas12a,C03,scraped,3.112
RPR1,Yes,FnCas12a,C04,11_gen,70.812
RPR1,Yes,FnCas12a,C04,20_gen,77.244
RPR1,Yes,FnCas12a,C04,6_gen,62.586
RPR1,Yes,FnCas12a,C04,scraped,6.13
RPR1,Yes,FnCas12a,C05,11_gen,8.292
RPR1,Yes,FnCas12a,C05,20_gen,7.416
RPR1,Yes,FnCas12a,C05,6_gen,7.640000000000001
RPR1,Yes,FnCas12a,C05,scraped,4.586
RPR1,Yes,FnCas12a,E01,11_gen,95.37177714885165
RPR1,Yes,FnCas12a,E01,20_gen,99.928
RPR1,Yes,FnCas12a,E01,6_gen,99.92
RPR1,Yes,FnCas12a,E01,scraped,97.348
RPR1,Yes,FnCas12a,E02,11_gen,99.946
RPR1,Yes,FnCas12a,E02,20_gen,99.95400000000001
RPR1,Yes,FnCas12a,E02,6_gen,99.818
RPR1,Yes,FnCas12a,E02,scraped,99.552
RPR1,Yes,FnCas12a,E05,11_gen,99.968
