guide,promoter,recruit,timepoint,avg_value,condition_label,well_position
G01,RPR1,LexA-FHA,scraped,1.114929121530625,RPR1 + LexA-FHA,G01
G01,RPR1,LexA-FHA,6_gen,3.1307598403372348,RPR1 + LexA-FHA,G01
G01,RPR1,LexA-FHA,12_gen,4.32443931951676,RPR1 + LexA-FHA,G01
G01,RPR1,No,scraped,0.8496074474957265,RPR1 + No,G01
G01,RPR1,No,6_gen,3.1070111939334453,RPR1 + No,G01
G01,RPR1,No,12_gen,4.79918551408343,RPR1 + No,G01
G01,SNR52,LexA-FHA,scraped,1.5322860034576649,SNR52 + LexA-FHA,G01
G01,SNR52,LexA-FHA,6_gen,5.3370783749951745,SNR52 + LexA-FHA,G01
G01,SNR52,LexA-FHA,12_gen,10.6352629559109,SNR52 + LexA-FHA,G01
G01,SNR52,No,scraped,0.592850130998836,SNR52 + No,G01
G01,SNR52,No,6_gen,2.633530091670075,SNR52 + No,G01
G01,SNR52,No,12_gen,6.766354224410225,SNR52 + No,G01
G02,RPR1,LexA-FHA,scraped,6.638049758648955,RPR1 + LexA-FHA,G02
G02,RPR1,LexA-FHA,6_gen,20.55201481400075,RPR1 + LexA-FHA,G02
G02,RPR1,LexA-FHA,12_gen,25.99015881594955,RPR1 + LexA-FHA,G02
G02,RPR1,No,scraped,1.3819703579374298,RPR1 + No,G02
G02,RPR1,No,6_gen,11.17777609383155,RPR1 + No,G02
G02,RPR1,No,12_gen,14.88620263526525,RPR1 + No,G02
G02,SNR52,LexA-FHA,scraped,9.18669339236003,SNR52 + LexA-FHA,G02
G02,SNR52,LexA-FHA,6_gen,30.734214814352548,SNR52 + LexA-FHA,G02
G02,SNR52,LexA-FHA,12_gen,41.3186391027122,SNR52 + LexA-FHA,G02
G02,SNR52,No,scraped,1.89791561379121,SNR52 + No,G02
G02,SNR52,No,6_gen,17.37129337592755,SNR52 + No,G02
G02,SNR52,No,12_gen,23.0030417771999,SNR52 + No,G02
G03,RPR1,LexA-FHA,scraped,38.1812102849265,RPR1 + LexA-FHA,G03
G03,RPR1,LexA-FHA,6_gen,75.5000485811437,RPR1 + LexA-FHA,G03
G03,RPR1,LexA-FHA,12_gen,86.09765167988745,RPR1 + LexA-FHA,G03
G03,RPR1,No,scraped,14.29295025107595,RPR1 + No,G03
G03,RPR1,No,6_gen,64.5006138841807,RPR1 + No,G03
G03,RPR1,No,12_gen,82.7729320005621,RPR1 + No,G03
G03,SNR52,LexA-FHA,scraped,49.891559454191295,SNR52 + LexA-FHA,G03
