folder,file,ys,guide,rep,6,colonies_cutoff,promoter,guide_id,recruit,replicate
20240404_ys78_rpr1,ys78_rpr1_00001.jpg,ys78,RPR_G01,1,NA,5933,RPR1,G01,No,D1
20240404_ys78_rpr1,ys78_rpr1_00002.jpg,ys78,RPR_G01,2,NA,6815,RPR1,G01,No,D2
20240404_ys78_rpr1,ys78_rpr1_00003.jpg,ys78,RPR_G02,1,NA,5713,RPR1,G02,No,D1
20240404_ys78_rpr1,ys78_rpr1_00004.jpg,ys78,RPR_G02,2,NA,5872,RPR1,G02,No,D2
20240404_ys78_rpr1,ys78_rpr1_00005.jpg,ys78,RPR_G03,1,NA,5490,RPR1,G03,No,D1
20240404_ys78_rpr1,ys78_rpr1_00006.jpg,ys78,RPR_G03,2,NA,5679,RPR1,G03,No,D2
20240404_ys78_rpr1,ys78_rpr1_00007.jpg,ys78,RPR_G04,1,NA,5782,RPR1,G04,No,D1
20240404_ys78_rpr1,ys78_rpr1_00008.jpg,ys78,RPR_G04,2,NA,5946,RPR1,G04,No,D2
20240404_ys78_rpr1,ys78_rpr1_00009.jpg,ys78,RPR_G05,1,NA,6422,RPR1,G05,No,D1
20240404_ys78_rpr1,ys78_rpr1_00010.jpg,ys78,RPR_G05,2,NA,6814,RPR1,G05,No,D2
20240404_ys78_rpr1,ys78_rpr1_00011.jpg,ys78,RPR_G06,1,NA,4087,RPR1,G06,No,D1
20240404_ys78_rpr1,ys78_rpr1_00012.jpg,ys78,RPR_G06,2,NA,3606,RPR1,G06,No,D2
20240404_ys78_rpr1,ys78_rpr1_00013.jpg,ys78,RPR_G07,1,NA,703,RPR1,G07,No,D1
20240404_ys78_rpr1,ys78_rpr1_00014.jpg,ys78,RPR_G07,2,NA,743,RPR1,G07,No,D2
20240404_ys78_rpr1,ys78_rpr1_00015.jpg,ys78,RPR_G08,1,exclude,335,RPR1,G08,No,D1
20240404_ys78_rpr1,ys78_rpr1_00016.jpg,ys78,RPR_G08,2,exclude,374,RPR1,G08,No,D2
20240404_ys78_rpr1,ys78_rpr1_00017.jpg,ys78,RPR_G09,1,NA,1250,RPR1,G09,No,D1
20240404_ys78_rpr1,ys78_rpr1_00018.jpg,ys78,RPR_G09,2,NA,962,RPR1,G09,No,D2
20240404_ys78_rpr1,ys78_rpr1_00019.jpg,ys78,RPR_G10,1,exclude,423,RPR1,G10,No,D1
20240404_ys78_rpr1,ys78_rpr1_00020.jpg,ys78,RPR_G10,2,exclude,454,RPR1,G10,No,D2
20240404_ys78_rpr1,ys78_rpr1_00021.jpg,ys78,RPR_G11,1,NA,1054,RPR1,G11,No,D1
20240404_ys78_rpr1,ys78_rpr1_00022.jpg,ys78,RPR_G11,2,NA,1070,RPR1,G11,No,D2
20240404_ys78_rpr1,ys78_rpr1_00023.jpg,ys78,RPR_G12,1,NA,6090,RPR1,G12,No,D1
20240404_ys78_rpr1,ys78_rpr1_00024.jpg,ys78,RPR_G12,2,NA,5755,RPR1,G12,No,D2
20240404_ys78_rpr1,ys78_rpr1_00025.jpg,ys78,RPR_G08,1,NA,374,RPR1,G08,No,D1
20240404_ys78_rpr1,ys78_rpr1_00026.jpg,ys78,RPR_G08,2,NA,289,RPR1,G08,No,D2
20240404_ys78_rpr1,ys78_rpr1_00027.jpg,ys78,RPR_G10,1,NA,91,RPR1,G10,No,D1
20240404_ys78_rpr1,ys78_rpr1_00028.jpg,ys78,RPR_G10,2,NA,114,RPR1,G10,No,D2
20240331_ys227_rpr1,ys227_rpr_00001.jpg,ys227,RPR_G01,1,NA,4446,RPR1,G01,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00002.jpg,ys227,RPR_G01,2,NA,3690,RPR1,G01,LexA-FHA,D2
20240331_ys227_rpr1,ys227_rpr_00003.jpg,ys227,RPR_G02,1,NA,7571,RPR1,G02,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00004.jpg,ys227,RPR_G02,2,NA,7150,RPR1,G02,LexA-FHA,D2
20240331_ys227_rpr1,ys227_rpr_00005.jpg,ys227,RPR_G03,1,NA,7133,RPR1,G03,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00006.jpg,ys227,RPR_G03,2,NA,7508,RPR1,G03,LexA-FHA,D2
20240331_ys227_rpr1,ys227_rpr_00007.jpg,ys227,RPR_G04,1,NA,7330,RPR1,G04,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00008.jpg,ys227,RPR_G04,2,NA,6708,RPR1,G04,LexA-FHA,D2
20240331_ys227_rpr1,ys227_rpr_00009.jpg,ys227,RPR_G05,1,NA,6804,RPR1,G05,LexA-FHA,D1
20240331_ys227_rpr1,ys227_rpr_00010.jpg,ys227,RPR_G05,2,NA,7461,RPR1,G05,LexA-FHA,D2
20240331_ys227_rpr1,ys227_rpr_00011.jpg,ys227,RPR_G06,1,NA,879,RPR1,G06,LexA-FHA,D1
