promoter,guide_id,recruit,count_d1,count_d2
RPR1,G01,LexA-FHA,4446,3690
RPR1,G01,No,5933,6815
RPR1,G02,LexA-FHA,7571,7150
RPR1,G02,No,5713,5872
RPR1,G03,LexA-FHA,7133,7508
RPR1,G03,No,5490,5679
RPR1,G04,LexA-FHA,7330,6708
RPR1,G04,No,5782,5946
RPR1,G05,LexA-FHA,6804,7461
RPR1,G05,No,6422,6814
RPR1,G06,LexA-FHA,879,1819
RPR1,G06,No,4087,3606
RPR1,G07,LexA-FHA,5062,5836
RPR1,G07,No,703,743
RPR1,G08,LexA-FHA,2984.5,3050.5
RPR1,G08,No,354.5,331.5
RPR1,G09,LexA-FHA,7009,7417
RPR1,G09,No,1250,962
RPR1,G10,LexA-FHA,2157,2026
RPR1,G10,No,257,284
RPR1,G11,LexA-FHA,3505,3337
RPR1,G11,No,1054,1070
RPR1,G12,LexA-FHA,2088,2849
RPR1,G12,No,6090,5755
SNR52,G01,LexA-FHA,2563,2833
SNR52,G01,No,7547,8165
SNR52,G02,LexA-FHA,6052,5577.5
SNR52,G02,No,6735.5,6633
SNR52,G03,LexA-FHA,5558,4313
SNR52,G03,No,8568,8038
SNR52,G04,LexA-FHA,5370,5423
SNR52,G04,No,6263,7376
SNR52,G05,LexA-FHA,5407,5536
SNR52,G05,No,8228,8737
SNR52,G06,LexA-FHA,4944,4900
SNR52,G06,No,8964,8443
SNR52,G07,LexA-FHA,2884,2770
SNR52,G07,No,568,564
SNR52,G08,LexA-FHA,1377,1462
SNR52,G08,No,158,164
SNR52,G09,LexA-FHA,3624,3247
SNR52,G09,No,4964,4759
SNR52,G10,LexA-FHA,1235,1090
SNR52,G10,No,166,210
SNR52,G11,LexA-FHA,2291,1970
SNR52,G11,No,1245,1044
SNR52,G12,LexA-FHA,2373,2546
SNR52,G12,No,3845,3470
