1,strain,total_gen_in_liquid,timepoint,replicate,editing_efficiency,viability,guide_length,cas_variant
33,ys85,60,timepoint1,1,0.08816,0.96426465385069,16,enAsCas12a
34,ys85,77,timepoint1,1,0.96396,0.0175728269843142,20,enAsCas12a
37,ys85,59,timepoint1,2,0.09116,0.958721547352282,16,enAsCas12a
38,ys85,78,timepoint1,2,0.89756,0.0175728269843142,20,enAsCas12a
41,ys85,76,timepoint1,1,0.97324,0.0369147305106734,17,enAsCas12a
42,ys85,80,timepoint1,1,0.99028,0.169890317254393,21,enAsCas12a
45,ys85,77,timepoint1,2,0.99436,0.0355584384951056,17,enAsCas12a
46,ys85,80,timepoint1,2,0.9926,0.159865550182805,21,enAsCas12a
49,ys85,79,timepoint1,1,0.97264,0.0134449817195424,18,enAsCas12a
50,ys85,78,timepoint1,1,0.98324,0.263120651020167,22,enAsCas12a
53,ys85,76,timepoint1,2,0.99256,0.0156268427880646,18,enAsCas12a
54,ys85,77,timepoint1,2,0.96688,0.274501710107324,22,enAsCas12a
57,ys85,77,timepoint1,1,0.9606,0.0362070998938554,19,enAsCas12a
58,ys85,81,timepoint1,1,0.97932,0.162401226559736,23,enAsCas12a
61,ys85,72,timepoint1,2,0.90196,0.0487085741243071,19,enAsCas12a
62,ys85,83,timepoint1,2,0.95048,0.140877461964854,23,enAsCas12a
67,ys88,135,timepoint2,1,0.01688,0.947576365137398,16,FnCas12a
68,ys88,104,timepoint2,1,0.6302,0.869854935723552,20,FnCas12a
71,ys88,135,timepoint2,2,0.0170400000000001,0.935074890906947,16,FnCas12a
72,ys88,104,timepoint2,2,0.62892,0.817667177733223,20,FnCas12a
75,ys88,124,timepoint2,1,0.0772,0.983134803632504,17,FnCas12a
76,ys88,108,timepoint2,1,0.52516,0.671187640051893,21,FnCas12a
79,ys88,126,timepoint2,2,0.07452,0.989857294492275,17,FnCas12a
80,ys88,112,timepoint2,2,0.54616,0.677025592640642,21,FnCas12a
83,ys88,124,timepoint2,1,0.0678,1.00288949168534,18,FnCas12a
84,ys88,105,timepoint2,1,0.62888,0.987911310296026,22,FnCas12a
87,ys88,124,timepoint2,2,0.07072,0.952765656327397,18,FnCas12a
88,ys88,105,timepoint2,2,0.60644,1.01208868970397,22,FnCas12a
91,ys88,101,timepoint2,1,0.6396,0.992982663049888,19,FnCas12a
92,ys88,112,timepoint2,1,0.61772,0.843908479773558,23,FnCas12a
95,ys88,106,timepoint2,2,0.63468,0.971871682981484,19,FnCas12a
96,ys88,105,timepoint2,2,0.61892,0.820143884892086,23,FnCas12a
