identifier,efficiency,rep,generations,timepoint,prom_cas,var,control,guide_promoter,dr_cognate,strain,guide_plasmid,true_colony_count
ys85_A71,79.31200000000001,1,6.7,6_gen,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,3070
ys85_A71,14.676,1,0,scraped,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,3070
ys85_A71,81.16799999999999,2,6.3,6_gen,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,2669
ys85_A71,18.204,2,0,scraped,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,2669
ys88_A83,65.364,1,6.5,6_gen,TEF,FnCas12a,no,syn1,cognate,ys88,A83,1930
ys90_A71,2.3640000000000003,1,7.2,6_gen,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4397
ys88_A83,13.452,1,0,scraped,TEF,FnCas12a,no,syn1,cognate,ys88,A83,1930
ys90_A71,2.156,1,0,scraped,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4397
ys88_A83,65.788,2,6.3,6_gen,TEF,FnCas12a,no,syn1,cognate,ys88,A83,2040
ys90_A71,1.696,2,7.3,6_gen,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4439
ys88_A83,12.94,2,0,scraped,TEF,FnCas12a,no,syn1,cognate,ys88,A83,2040
ys90_A71,1.568,2,0,scraped,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4439
ys87_A83,69.096,1,6,6_gen,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1315
ys87_A83,10.068000000000001,1,0,scraped,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1315
ys87_A83,70.96000000000001,2,6.3,6_gen,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1285
ys87_A83,10.620000000000001,2,0,scraped,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1285
ys85_A71,92.488,1,11.8,11_gen,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,3070
ys85_A71,93.28,2,11.7,11_gen,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,2669
ys88_A83,82.068,1,12.1,11_gen,TEF,FnCas12a,no,syn1,cognate,ys88,A83,1930
ys90_A71,3.2680000000000002,1,12.6,11_gen,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4397
ys88_A83,81.94,2,11.6,11_gen,TEF,FnCas12a,no,syn1,cognate,ys88,A83,2040
ys90_A71,2.12,2,12.7,11_gen,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4439
ys87_A83,83.344,1,11.2,11_gen,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1315
ys87_A83,85.784,2,11.6,11_gen,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1285
ys85_A71,95.56400000000001,1,18.6,20_gen,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,3070
ys85_A71,97.672,2,18.1,20_gen,TEF,enAsCas12a,no,syn1,cognate,ys85,A71,2669
ys88_A83,92.884,1,18.2,20_gen,TEF,FnCas12a,no,syn1,cognate,ys88,A83,1930
ys90_A71,3.92,1,18.6,20_gen,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4397
ys88_A83,93.432,2,17.9,20_gen,TEF,FnCas12a,no,syn1,cognate,ys88,A83,2040
ys90_A71,2.748,2,18.8,20_gen,TEF,AsCas12a,no,syn1,cognate,ys90,A71,4439
ys87_A83,90.712,1,17.7,20_gen,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1315
ys87_A83,94.028,2,17.6,20_gen,TEF,FnCas12a(CO),no,syn1,cognate,ys87,A83,1285
