name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency
VB_20240909_Cas_vars_Experiment_T01_PGK1_D1_C3.fcs,root,1,VB_20240909_Cas_vars,C3,T01_PGK1_D1,LbCas12a(CO),1,No,PGK1,T01,0,26.58
VB_20240909_Cas_vars_Experiment_T01_PGK1_D1_D3.fcs,root,1,VB_20240909_Cas_vars,D3,T01_PGK1_D1,FnCas12a(CO),1,No,PGK1,T01,0,72.24000000000001
VB_20240909_Cas_vars_Experiment_T01_PGK1_D1_E3.fcs,root,1,VB_20240909_Cas_vars,E3,T01_PGK1_D1,FnCas12a,1,No,PGK1,T01,0,86.464
VB_20240909_Cas_vars_Experiment_T01_PGK1_D1_F3.fcs,root,1,VB_20240909_Cas_vars,F3,T01_PGK1_D1,LbCas12a,1,No,PGK1,T01,0,10.548
VB_20240909_Cas_vars_Experiment_T01_PGK1_D1_G3.fcs,root,1,VB_20240909_Cas_vars,G3,T01_PGK1_D1,AsCas12a,1,No,PGK1,T01,0,3.4320000000000004
VB_20240909_Cas_vars_Experiment_T01_PGK1_D2_C4.fcs,root,1,VB_20240909_Cas_vars,C4,T01_PGK1_D2,LbCas12a(CO),2,No,PGK1,T01,0,25.344
VB_20240909_Cas_vars_Experiment_T01_PGK1_D2_D4.fcs,root,1,VB_20240909_Cas_vars,D4,T01_PGK1_D2,FnCas12a(CO),2,No,PGK1,T01,0,75.09599999999999
VB_20240909_Cas_vars_Experiment_T01_PGK1_D2_E4.fcs,root,1,VB_20240909_Cas_vars,E4,T01_PGK1_D2,FnCas12a,2,No,PGK1,T01,0,83.75200000000001
VB_20240909_Cas_vars_Experiment_T01_PGK1_D2_F4.fcs,root,1,VB_20240909_Cas_vars,F4,T01_PGK1_D2,LbCas12a,2,No,PGK1,T01,0,11.124
VB_20240909_Cas_vars_Experiment_T01_PGK1_D2_G4.fcs,root,1,VB_20240909_Cas_vars,G4,T01_PGK1_D2,AsCas12a,2,No,PGK1,T01,0,2.94
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_C1.fcs,root,1,VB_20240909_Cas_vars,C1,T01_TEF_D1,LbCas12a(CO),1,No,TEF,T01,0,3.3840000000000003
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_D1.fcs,root,1,VB_20240909_Cas_vars,D1,T01_TEF_D1,FnCas12a(CO),1,No,TEF,T01,0,48.196
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_E1.fcs,root,1,VB_20240909_Cas_vars,E1,T01_TEF_D1,FnCas12a,1,No,TEF,T01,0,77.84
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_F1.fcs,root,1,VB_20240909_Cas_vars,F1,T01_TEF_D1,LbCas12a,1,No,TEF,T01,0,3.512
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_G1.fcs,root,1,VB_20240909_Cas_vars,G1,T01_TEF_D1,AsCas12a,1,No,TEF,T01,0,1.8880000000000001
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_H1.fcs,root,1,VB_20240909_Cas_vars,H1,T01_TEF_D1,MbCas12a,1,No,TEF,T01,0,1.796
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_C2.fcs,root,1,VB_20240909_Cas_vars,C2,T01_TEF_D2,LbCas12a(CO),2,No,TEF,T01,0,4.008
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_D2.fcs,root,1,VB_20240909_Cas_vars,D2,T01_TEF_D2,FnCas12a(CO),2,No,TEF,T01,0,50.69200000000001
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_E2.fcs,root,1,VB_20240909_Cas_vars,E2,T01_TEF_D2,FnCas12a,2,No,TEF,T01,0,83.74000000000001
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_F2.fcs,root,1,VB_20240909_Cas_vars,F2,T01_TEF_D2,LbCas12a,2,No,TEF,T01,0,3.676
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_G2.fcs,root,1,VB_20240909_Cas_vars,G2,T01_TEF_D2,AsCas12a,2,No,TEF,T01,0,1.568
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_H2.fcs,root,1,VB_20240909_Cas_vars,H2,T01_TEF_D2,MbCas12a,2,No,TEF,T01,0,1.424
VB_20240909_Cas_vars_Experiment_T02_PGK1_D1_C7.fcs,root,1,VB_20240909_Cas_vars,C7,T02_PGK1_D1,LbCas12a(CO),1,No,PGK1,T02,5.292781749,79.756
VB_20240909_Cas_vars_Experiment_T02_PGK1_D1_D7.fcs,root,1,VB_20240909_Cas_vars,D7,T02_PGK1_D1,FnCas12a(CO),1,No,PGK1,T02,7.070389328,61.548
VB_20240909_Cas_vars_Experiment_T02_PGK1_D1_E7.fcs,root,1,VB_20240909_Cas_vars,E7,T02_PGK1_D1,FnCas12a,1,No,PGK1,T02,7.478971805,80.156
VB_20240909_Cas_vars_Experiment_T02_PGK1_D1_F7.fcs,root,1,VB_20240909_Cas_vars,F7,T02_PGK1_D1,LbCas12a,1,No,PGK1,T02,5.292781749,60.467999999999996
VB_20240909_Cas_vars_Experiment_T02_PGK1_D1_G7.fcs,root,1,VB_20240909_Cas_vars,G7,T02_PGK1_D1,AsCas12a,1,No,PGK1,T02,4.807354922,57.168
