name,sample,strain,rep,guide_promoter,control,timepoint,generations,efficiency,var,assay,prom_cas
VB_20240916_PGK1_proms_Experiment_ys286_T01_A1.fcs,A1,ys286,1,SNR52,Yes,T01,0,2.4880000000000013,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A10.fcs,A10,ys286,2,SYN1,No,T01,0,99.62,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A2.fcs,A2,ys286,2,SNR52,Yes,T01,0,2.9159999999999964,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A3.fcs,A3,ys286,1,SNR52,No,T01,0,97.744,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A4.fcs,A4,ys286,2,SNR52,No,T01,0,99.86,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A5.fcs,A5,ys286,1,RPR1,No,T01,0,98,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A6.fcs,A6,ys286,2,RPR1,No,T01,0,98.792,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A7.fcs,A7,ys286,1,SCR1,No,T01,0,96.696,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A8.fcs,A8,ys286,2,SCR1,No,T01,0,95.268,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T01_A9.fcs,A9,ys286,1,SYN1,No,T01,0,97.952,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E1.fcs,E1,ys286,1,SNR52,Yes,T02,6.584962501,0.13999999999999568,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E10.fcs,E10,ys286,2,SYN1,No,T02,8.887525271,99.924,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E2.fcs,E2,ys286,2,SNR52,Yes,T02,6.321928095,0.11600000000000499,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E3.fcs,E3,ys286,1,SNR52,No,T02,8.646738698,99.48,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E4.fcs,E4,ys286,2,SNR52,No,T02,8.581953751,99.988,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E5.fcs,E5,ys286,1,RPR1,No,T02,8.902073579,97.628,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E6.fcs,E6,ys286,2,RPR1,No,T02,9.427941333,98.988,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E7.fcs,E7,ys286,1,SCR1,No,T02,8.711494907,97.148,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E8.fcs,E8,ys286,2,SCR1,No,T02,8.251719093,91.52,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys286_T02_E9.fcs,E9,ys286,1,SYN1,No,T02,8.655351829,98.772,enAsCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys289_T01_B1.fcs,B1,ys289,1,SNR52,Yes,T01,0,1.3000000000000012,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys289_T01_B10.fcs,B10,ys289,2,SYN1,No,T01,0,2.764,FnCas12a,OFF,PGK1
VB_20240916_PGK1_proms_Experiment_ys289_T01_B2.fcs,B2,ys289,2,SNR52,Yes,T01,0,1.6880000000000006,FnCas12a,OFF,PGK1
