folder,file,strain,guide_id,rep,6,colonies_cutoff,var,assay,guide_promoter,control,guide_role,control_colony_count,control_count_file,relative_colony_count
20240916,20240916_00001.jpg,ys286,p120,1,NA,4774,enAsCas12a,OFF,SNR52,Yes,control,4774,20240916_00001.jpg,1
20240916,20240916_00002.jpg,ys286,p120,2,NA,4796,enAsCas12a,OFF,SNR52,Yes,control,4796,20240916_00002.jpg,1
20240916,20240916_00003.jpg,ys286,p136,1,NA,55,enAsCas12a,OFF,SNR52,No,targeting,4774,20240916_00001.jpg,0.01152073732718894
20240916,20240916_00004.jpg,ys286,p136,2,NA,89,enAsCas12a,OFF,SNR52,No,targeting,4796,20240916_00002.jpg,0.018557130942452045
20240916,20240916_00005.jpg,ys286,A68,1,NA,103,enAsCas12a,OFF,RPR1,No,targeting,4774,20240916_00001.jpg,0.021575198994553832
20240916,20240916_00006.jpg,ys286,A68,2,NA,67,enAsCas12a,OFF,RPR1,No,targeting,4796,20240916_00002.jpg,0.01396997497914929
20240916,20240916_00007.jpg,ys286,A70,1,NA,66,enAsCas12a,OFF,SCR1,No,targeting,4774,20240916_00001.jpg,0.013824884792626729
20240916,20240916_00008.jpg,ys286,A70,2,NA,57,enAsCas12a,OFF,SCR1,No,targeting,4796,20240916_00002.jpg,0.01188490408673895
20240916,20240916_00009.jpg,ys286,A71,1,NA,468,enAsCas12a,OFF,SYN1,No,targeting,4774,20240916_00001.jpg,0.0980310012568077
20240916,20240916_00010.jpg,ys286,A71,2,NA,421,enAsCas12a,OFF,SYN1,No,targeting,4796,20240916_00002.jpg,0.0877814845704754
20240916,20240916_00011.jpg,ys289,p120,1,NA,1826,FnCas12a,OFF,SNR52,Yes,control,1826,20240916_00011.jpg,1
20240916,20240916_00012.jpg,ys289,p120,2,NA,1666,FnCas12a,OFF,SNR52,Yes,control,1666,20240916_00012.jpg,1
20240916,20240916_00013.jpg,ys289,p136,1,NA,60,FnCas12a,OFF,SNR52,No,targeting,1826,20240916_00011.jpg,0.03285870755750274
20240916,20240916_00014.jpg,ys289,p136,2,NA,69,FnCas12a,OFF,SNR52,No,targeting,1666,20240916_00012.jpg,0.04141656662665066
20240916,20240916_00015.jpg,ys289,A68,1,NA,58,FnCas12a,OFF,RPR1,No,targeting,1826,20240916_00011.jpg,0.03176341730558598
20240916,20240916_00016.jpg,ys289,A68,2,NA,56,FnCas12a,OFF,RPR1,No,targeting,1666,20240916_00012.jpg,0.03361344537815126
20240916,20240916_00017.jpg,ys289,A70,1,NA,183,FnCas12a,OFF,SCR1,No,targeting,1826,20240916_00011.jpg,0.10021905805038335
20240916,20240916_00018.jpg,ys289,A70,2,NA,177,FnCas12a,OFF,SCR1,No,targeting,1666,20240916_00012.jpg,0.10624249699879952
20240916,20240916_00019.jpg,ys289,A71,1,NA,2750,FnCas12a,OFF,SYN1,No,targeting,1826,20240916_00011.jpg,1.5060240963855422
20240916,20240916_00020.jpg,ys289,A71,2,NA,3362,FnCas12a,OFF,SYN1,No,targeting,1666,20240916_00012.jpg,2.0180072028811527
20240916,20240916_00021.jpg,ys318,p120,1,NA,10090,enAsCas12a,ON,SNR52,Yes,control,10090,20240916_00021.jpg,1
20240916,20240916_00022.jpg,ys318,p120,2,NA,12566,enAsCas12a,ON,SNR52,Yes,control,12566,20240916_00022.jpg,1
20240916,20240916_00023.jpg,ys318,A15,1,NA,131,enAsCas12a,ON,SNR52,No,targeting,10090,20240916_00021.jpg,0.012983151635282459
20240916,20240916_00024.jpg,ys318,A15,2,NA,139,enAsCas12a,ON,SNR52,No,targeting,12566,20240916_00022.jpg,0.011061594779563902
20240916,20240916_00025.jpg,ys318,A69,1,NA,167,enAsCas12a,ON,RPR1,No,targeting,10090,20240916_00021.jpg,0.016551040634291376
20240916,20240916_00026.jpg,ys318,A69,2,NA,194,enAsCas12a,ON,RPR1,No,targeting,12566,20240916_00022.jpg,0.015438484800254655
20240916,20240916_00027.jpg,ys318,A14,1,NA,84,enAsCas12a,ON,SCR1,No,targeting,10090,20240916_00021.jpg,0.008325074331020813
20240916,20240916_00028.jpg,ys318,A14,2,NA,157,enAsCas12a,ON,SCR1,No,targeting,12566,20240916_00022.jpg,0.012494031513608148
20240916,20240916_00029.jpg,ys318,A26,1,NA,463,enAsCas12a,ON,SYN1,No,targeting,10090,20240916_00021.jpg,0.045887016848364715
20240916,20240916_00030.jpg,ys318,A26,2,NA,363,enAsCas12a,ON,SYN1,No,targeting,12566,20240916_00022.jpg,0.02888747413655897
20240916,20240916_00031.jpg,ys321,p120,1,NA,5773,FnCas12a,ON,SNR52,Yes,control,5773,20240916_00031.jpg,1
20240916,20240916_00032.jpg,ys321,p120,2,NA,6738,FnCas12a,ON,SNR52,Yes,control,6738,20240916_00032.jpg,1
20240916,20240916_00033.jpg,ys321,A15,1,NA,988,FnCas12a,ON,SNR52,No,targeting,5773,20240916_00031.jpg,0.1711415208730296
20240916,20240916_00034.jpg,ys321,A15,2,NA,1005,FnCas12a,ON,SNR52,No,targeting,6738,20240916_00032.jpg,0.1491540516473731
20240916,20240916_00035.jpg,ys321,A69,1,NA,631,FnCas12a,ON,RPR1,No,targeting,5773,20240916_00031.jpg,0.10930192274380737
20240916,20240916_00036.jpg,ys321,A69,2,NA,546,FnCas12a,ON,RPR1,No,targeting,6738,20240916_00032.jpg,0.08103294746215495
20240916,20240916_00037.jpg,ys321,A14,1,NA,561,FnCas12a,ON,SCR1,No,targeting,5773,20240916_00031.jpg,0.09717651134592066
20240916,20240916_00038.jpg,ys321,A14,2,NA,520,FnCas12a,ON,SCR1,No,targeting,6738,20240916_00032.jpg,0.0771742356782428
20240916,20240916_00039.jpg,ys321,A26,1,NA,6842,FnCas12a,ON,SYN1,No,targeting,5773,20240916_00031.jpg,1.1851723540620127
20240916,20240916_00040.jpg,ys321,A26,2,NA,8547,FnCas12a,ON,SYN1,No,targeting,6738,20240916_00032.jpg,1.2684772929652717
