name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency,true_colony_count,control_count,viability
NA,NA,NA,NA,C7,NA,AsCas12a,1,no,PGK1,scraped,0,9.852,2813,NA,NA
NA,NA,NA,NA,C7,NA,AsCas12a,1,no,PGK1,6_gen,5,96.904,2813,NA,NA
NA,NA,NA,NA,C7,NA,AsCas12a,1,no,PGK1,11_gen,11.9,99.436,2813,NA,NA
NA,NA,NA,NA,C7,NA,AsCas12a,1,no,PGK1,20_gen,21.200000000000003,99.216,2813,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,1,no,PGK1,scraped,0,98.852,478,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,1,no,PGK1,6_gen,8.3,99.424,478,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,1,no,PGK1,11_gen,13.9,99.5,478,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,1,no,PGK1,20_gen,23,99.348,478,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),1,no,PGK1,scraped,0,98.756,295,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),1,no,PGK1,6_gen,7.6,98.664,295,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),1,no,PGK1,11_gen,12.8,99.044,295,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),1,no,PGK1,20_gen,21.200000000000003,99.008,295,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,1,no,PGK1,scraped,0,16.788,2069,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,1,no,PGK1,6_gen,4.7,92.352,2069,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,1,no,PGK1,11_gen,11.7,98.552,2069,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,1,no,PGK1,20_gen,21,99.508,2069,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),1,no,PGK1,scraped,0,58.944,2306,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),1,no,PGK1,6_gen,7.1,98.988,2306,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),1,no,PGK1,11_gen,12.9,99.836,2306,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),1,no,PGK1,20_gen,22,99.924,2306,NA,NA
NA,NA,NA,NA,C2,NA,enAsCas12a,1,no,PGK1,scraped,0,99.676,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C2,NA,enAsCas12a,1,no,PGK1,6_gen,7.1,99.716,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C2,NA,enAsCas12a,1,no,PGK1,11_gen,13.2,99.692,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C2,NA,enAsCas12a,1,no,PGK1,20_gen,22.799999999999997,99.856,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C1,NA,enAsCas12a,1,yes,PGK1,scraped,0,1.16000000000001,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C1,NA,enAsCas12a,1,yes,PGK1,6_gen,6.6,0.156000000000001,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C1,NA,enAsCas12a,1,yes,PGK1,11_gen,12.3,0.792000000000004,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C1,NA,enAsCas12a,1,yes,PGK1,20_gen,21,0.183999999999995,66,3148.5,0.02096236303001429
NA,NA,NA,NA,C7,NA,AsCas12a,2,no,PGK1,scraped,0,10.564,2667,NA,NA
NA,NA,NA,NA,C7,NA,AsCas12a,2,no,PGK1,6_gen,4.5,96.864,2667,NA,NA
NA,NA,NA,NA,C7,NA,AsCas12a,2,no,PGK1,11_gen,11.6,99.616,2667,NA,NA
NA,NA,NA,NA,C7,NA,AsCas12a,2,no,PGK1,20_gen,21,99.756,2667,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,2,no,PGK1,scraped,0,98.668,577,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,2,no,PGK1,6_gen,8,99.128,577,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,2,no,PGK1,11_gen,13.7,99.204,577,NA,NA
NA,NA,NA,NA,C5,NA,FnCas12a,2,no,PGK1,20_gen,22.9,99.428,577,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),2,no,PGK1,scraped,0,99.068,254,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),2,no,PGK1,6_gen,7.9,99.408,254,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),2,no,PGK1,11_gen,12.8,99.5,254,NA,NA
NA,NA,NA,NA,C4,NA,FnCas12a(CO),2,no,PGK1,20_gen,21.4,99.304,254,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,2,no,PGK1,scraped,0,17.568,2120,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,2,no,PGK1,6_gen,4.8,92.556,2120,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,2,no,PGK1,11_gen,11.7,98.468,2120,NA,NA
NA,NA,NA,NA,C6,NA,LbCas12a,2,no,PGK1,20_gen,21,99.516,2120,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,scraped,0,62.212,2255,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,6_gen,7.6,98.572,2255,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,11_gen,13.2,99.452,2255,NA,NA
NA,NA,NA,NA,C3,NA,LbCas12a(CO),2,no,PGK1,20_gen,22.4,99.712,2255,NA,NA
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,scraped,0,99.72,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,6_gen,7.1,99.728,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,11_gen,13.5,99.856,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C2,NA,enAsCas12a,2,no,PGK1,20_gen,23.1,99.928,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,scraped,0,1.408,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,6_gen,6.4,0.248000000000004,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,11_gen,12.2,0.9759999999999988,54,3148.5,0.01715102429728442
NA,NA,NA,NA,C1,NA,enAsCas12a,2,yes,PGK1,20_gen,21,0.307999999999997,54,3148.5,0.01715102429728442
VB_20241007_MbCas12a_PGK1_Experiment_T01_C1.fcs,root,1,VB_20241007_MbCas12a_PGK1,C1,T01,MbCas12a,1,no,PGK1,T01,0,11.675999999999998,4154,NA,NA
VB_20241007_MbCas12a_PGK1_Experiment_T01_D1.fcs,root,1,VB_20241007_MbCas12a_PGK1,D1,T01,MbCas12a,2,no,PGK1,T01,0,11.568,3902,NA,NA
VB_20241007_MbCas12a_PGK1_Experiment_T02_C2.fcs,root,1,VB_20241007_MbCas12a_PGK1,C2,T02,MbCas12a,1,no,PGK1,T02,4.155727282,91.408,4154,NA,NA
VB_20241007_MbCas12a_PGK1_Experiment_T02_D2.fcs,root,1,VB_20241007_MbCas12a_PGK1,D2,T02,MbCas12a,2,no,PGK1,T02,3.840796879,90.704,3902,NA,NA
VB_20241007_MbCas12a_PGK1_Experiment_T03_C3.fcs,root,1,VB_20241007_MbCas12a_PGK1,C3,T03,MbCas12a,1,no,PGK1,T03,12.06455656,98.724,4154,NA,NA
VB_20241007_MbCas12a_PGK1_Experiment_T03_D3.fcs,root,1,VB_20241007_MbCas12a_PGK1,D3,T03,MbCas12a,2,no,PGK1,T03,11.84770171,98.48,3902,NA,NA
VB_20241007_MbCas12a_PGK1_Experiment_T04_C4.fcs,root,1,VB_20241007_MbCas12a_PGK1,C4,T04,MbCas12a,1,no,PGK1,T04,18.18349764,99.692,4154,NA,NA
