name,parent,parent_frequency,plate,sample,group,var,rep,control,prom_cas,timepoint,generations,efficiency,colonies_cutoff
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_C1.fcs,root,1,VB_20240909_Cas_vars,C1,T01_TEF_D1,LbCas12a(CO),1,No,TEF,T01,0,3.3840000000000003,3705
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_D1.fcs,root,1,VB_20240909_Cas_vars,D1,T01_TEF_D1,FnCas12a(CO),1,No,TEF,T01,0,48.196,2116
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_E1.fcs,root,1,VB_20240909_Cas_vars,E1,T01_TEF_D1,FnCas12a,1,No,TEF,T01,0,77.84,2424
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_F1.fcs,root,1,VB_20240909_Cas_vars,F1,T01_TEF_D1,LbCas12a,1,No,TEF,T01,0,3.512,3329
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_G1.fcs,root,1,VB_20240909_Cas_vars,G1,T01_TEF_D1,AsCas12a,1,No,TEF,T01,0,1.888,8092
VB_20240909_Cas_vars_Experiment_T01_TEF_D1_H1.fcs,root,1,VB_20240909_Cas_vars,H1,T01_TEF_D1,MbCas12a,1,No,TEF,T01,0,1.796,7656
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_C2.fcs,root,1,VB_20240909_Cas_vars,C2,T01_TEF_D2,LbCas12a(CO),2,No,TEF,T01,0,4.008,2444
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_D2.fcs,root,1,VB_20240909_Cas_vars,D2,T01_TEF_D2,FnCas12a(CO),2,No,TEF,T01,0,50.69200000000001,1494
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_E2.fcs,root,1,VB_20240909_Cas_vars,E2,T01_TEF_D2,FnCas12a,2,No,TEF,T01,0,83.74000000000001,1419
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_F2.fcs,root,1,VB_20240909_Cas_vars,F2,T01_TEF_D2,LbCas12a,2,No,TEF,T01,0,3.676,3104
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_G2.fcs,root,1,VB_20240909_Cas_vars,G2,T01_TEF_D2,AsCas12a,2,No,TEF,T01,0,1.568,6922
VB_20240909_Cas_vars_Experiment_T01_TEF_D2_H2.fcs,root,1,VB_20240909_Cas_vars,H2,T01_TEF_D2,MbCas12a,2,No,TEF,T01,0,1.424,7223
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_C5.fcs,root,1,VB_20240909_Cas_vars,C5,T02_TEF_D1,LbCas12a(CO),1,No,TEF,T02,6.857980995,31.408,3705
VB_20240909_Cas_vars_Experiment_T02_TEF_D1_D5.fcs,root,1,VB_20240909_Cas_vars,D5,T02_TEF_D1,FnCas12a(CO),1,No,TEF,T02,7.842978832,76.716,2116
