folder,file,ys,guide,rep,6,colonies_cutoff,var
20240916,20240916_00041.jpg,ys304,A15,1,NA,363,enAsCas12a
20240916,20240916_00042.jpg,ys304,A15,2,NA,441,enAsCas12a
20240908,20240908_00023.jpg,ys305,A15,1,NA,3705,LbCas12a(CO)
20240908,20240908_00024.jpg,ys305,A15,2,NA,2444,LbCas12a(CO)
20240908,20240908_00025.jpg,ys306,A15,2,NA,1494,FnCas12a(CO)
20240908,20240908_00026.jpg,ys306,A15,1,NA,2116,FnCas12a(CO)
20240908,20240908_00027.jpg,ys307,A15,2,NA,1419,FnCas12a
20240908,20240908_00028.jpg,ys307,A15,1,NA,2424,FnCas12a
20240908,20240908_00029.jpg,ys308,A15,2,NA,3104,LbCas12a
20240908,20240908_00030.jpg,ys308,A15,1,NA,3329,LbCas12a
20240908,20240908_00031.jpg,ys309,A15,2,NA,6922,AsCas12a
20240908,20240908_00032.jpg,ys309,A15,1,NA,8092,AsCas12a
20240908,20240908_00033.jpg,ys310,A15,2,NA,7223,MbCas12a
20240908,20240908_00034.jpg,ys310,A15,1,NA,7656,MbCas12a
