term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,odds_ratio_low,odds_ratio_high,feature_group,term_label
pamTTTC,0.6200497156093804,0.21276389543643856,2.9142619067839686,0.003565306540202308,0.20572517941489502,1.0408152731158853,1.8590204618840769,1.2284155637182148,2.8315245394261326,PAM,TTTC vs TTTA
pamTTTG,-0.5663572399456005,0.18548417889135574,-3.0533991811632344,0.0022626473655346794,-0.9318959390872585,-0.20417550288837194,0.5675892689143109,0.3938063692505713,0.8153192677436918,PAM,TTTG vs TTTA
pam_dist_bin7-11,0.035802300178079616,0.23226452731322553,0.15414450321894235,0.8774957990822047,-0.41742324775626183,0.4943933697794126,1.0364509200723055,0.6587420498381611,1.6395033650392434,PAM,7-11 nt vs 1-6 nt
pam_dist_bin12-17,-0.07400608309728733,0.20858151764962168,-0.3548065232778862,0.7227345410636349,-0.4828811631968832,0.33564435236185103,0.9286660446582078,0.617003141697876,1.3988414416791644,PAM,12-17 nt vs 1-6 nt
pam_dist_bin18-23,-1.0581938301848168,0.25447593939509544,-4.158325666073606,3.205887592619347e-5,-1.5625405062695752,-0.5633634286285191,0.3470821338099838,0.2096028967477023,0.5692910702560084,PAM,18-23 nt vs 1-6 nt
pam_dist_binPAM,-0.865863803626065,0.26404872780437627,-3.2791818798973753,0.0010410851425182587,-1.3861689744957717,-0.3492940740764279,0.42068800380940036,0.2500313486213376,0.7051857229347067,PAM,PAM-overlap vs 1-6 nt
deepcpf1_score,1.5654080487540392,0.4000132401334781,3.9133905873507766,9.100914687914769e-5,0.7851317155997569,2.354801384579285,4.7846268986647384,2.1926957339471937,10.536036034638805,Guide score,DeepCpf1 score
pam_upstream_ntA,0.3587664393528599,0.22360542233634775,1.604462161982828,0.10861221846080617,-0.07853486392144562,0.798872504820105,1.4315624058804028,0.9244698287262157,2.2230330558957423,PAM upstream base,PAM 5' A vs C
pam_upstream_ntG,0.6615954340652965,0.2586075346252367,2.5582991424594534,0.010518556517856489,0.15896079725313397,1.1742469877181692,1.9378816317314158,1.1722919887137977,3.2357055002585775,PAM upstream base,PAM 5' G vs C
pam_upstream_ntT,0.6013795169729214,0.206382684804029,2.913904902167361,0.003569386211236909,0.19757049716302713,1.007411349505218,1.824634178807025,1.2184389584318722,2.7385028049472475,PAM upstream base,PAM 5' T vs C
guide_gc_20,-1.159817711053267,0.8644935275546429,-1.3416152626775535,0.1797207748378111,-2.8616725585247953,0.5312788703633721,0.31354333115710714,0.05717305497094491,1.7011064126997424,GC content,Guide GC (first 20 nt)
donor_wt_gc,-3.524526249201597,1.7152843762776657,-2.0547766294299037,0.039900584514549656,-6.901987751542935,-0.17056352646943426,0.02946576349196396,0.001005784191647272,0.8431895230737195,GC content,WT donor GC
dr_spacer_pair_anyTRUE,-0.19942831675291584,0.17339945795336997,-1.1501092281761658,0.2500988860137252,-0.539113001478883,0.1412832322946136,0.8191989415483905,0.5832653785231889,1.1517508148181774,DR folding,Any DR-spacer pairing
