"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","odds_ratio_low","odds_ratio_high","feature_group","term_label"
"(Intercept)",-0.0364618450072416,0.674266916124857,-0.0540762777103093,0.956874392231451,-1.35962188766684,1.28905718188536,0.964194882043236,0.256757841908332,3.62936311287698,"Other","(Intercept)"
"roundround_2",0.0872232580732866,0.248526907003676,0.350961025206001,0.725617588178943,-0.393706138791463,0.582946139729606,1.09114025839859,0.674552251857968,1.79130810832112,"Round","Round 2 vs Round 1"
"pamTTTC",0.608547088832763,0.286170026340049,2.12652281098664,0.0334597519665212,0.0540024626626182,1.17928657760915,1.8377593570395,1.05548720146075,3.25205328746007,"PAM","TTTC vs TTTA"
"pamTTTG",-0.544838385618632,0.237305742262133,-2.29593426785599,0.0216796400421757,-1.01452951566966,-0.0827419255264441,0.579935501683864,0.362572974613182,0.92058869700938,"PAM","TTTG vs TTTA"
"pam_dist_bin7-11",-0.0711733421842691,0.308391120425997,-0.230789207179356,0.817478566337116,-0.671967800339083,0.540735081788435,0.931300444481895,0.510702627552874,1.71726873130977,"Edit position","7-11 nt vs 1-6 nt"
"pam_dist_bin12-17",-0.121993305249118,0.280034532949833,-0.435636647966457,0.663100376808901,-0.671848178240798,0.428619934925358,0.885154294370284,0.510763722526864,1.53513747137077,"Edit position","12-17 nt vs 1-6 nt"
"pam_dist_bin18-23",-1.42681823430737,0.32641310439305,-4.37120389808022,1.23563335347294e-05,-2.07569360482644,-0.79306711108039,0.240071559786086,0.12546937114394,0.452454935398846,"Edit position","18-23 nt vs 1-6 nt"
"pam_dist_binPAM",-0.748698533388499,0.343289235699848,-2.18095546125168,0.0291867109225344,-1.42074654826218,-0.0704300928034289,0.472981722262261,0.241533633058775,0.931992890258703,"Edit position","PAM-overlap vs 1-6 nt"
"deepcpf1_score",1.50000696675734,0.521468211221751,2.87650701323281,0.00402103259871496,0.482583865363083,2.53032248439158,4.48172029328704,1.62025552026174,12.5575550992854,"Guide score","DeepCpf1 score"
"max_A",0.0224947126926204,0.0954017864957551,0.235789218618263,0.813596234608316,-0.163463733986599,0.211243997201145,1.0227496265585,0.849197295443645,1.23521370698271,"Homopolymers","max A run"
"max_T",0.186667000789193,0.162413874578244,1.14932915229028,0.250420281610114,-0.131256008895243,0.506583060042448,1.20522587895314,0.876993227581951,1.65961070539365,"Homopolymers","max T run"
"vardiff",0.143946129773777,0.120818285049711,1.19142669269432,0.233486119256493,-0.0252844990135188,0.470456090198048,1.15482189633243,0.975032476787383,1.60072410132513,"Variant size","Variant length difference"
