"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","odds_ratio_low","odds_ratio_high","feature_group","term_label"
"(Intercept)",1.40301017618929,0.587255347829016,2.38909731750589,0.0168898277899329,0.256197952326647,2.56096831027496,4.06742522408557,1.29200845870807,12.9483492667941,"Other","(Intercept)"
"pamTTTC",0.62004971560938,0.212763895436439,2.91426190678397,0.00356530654020231,0.205725179414895,1.04081527311589,1.85902046188408,1.22841556371821,2.83152453942613,"PAM","TTTC vs TTTA"
"pamTTTG",-0.5663572399456,0.185484178891356,-3.05339918116323,0.00226264736553468,-0.931895939087259,-0.204175502888372,0.567589268914311,0.393806369250571,0.815319267743692,"PAM","TTTG vs TTTA"
"pam_dist_bin7-11",0.0358023001780796,0.232264527313226,0.154144503218942,0.877495799082205,-0.417423247756262,0.494393369779413,1.03645092007231,0.658742049838161,1.63950336503924,"Edit position","7-11 nt vs 1-6 nt"
"pam_dist_bin12-17",-0.0740060830972873,0.208581517649622,-0.354806523277886,0.722734541063635,-0.482881163196883,0.335644352361851,0.928666044658208,0.617003141697876,1.39884144167916,"Edit position","12-17 nt vs 1-6 nt"
"pam_dist_bin18-23",-1.05819383018482,0.254475939395095,-4.15832566607361,3.20588759261935e-05,-1.56254050626958,-0.563363428628519,0.347082133809984,0.209602896747702,0.569291070256008,"Edit position","18-23 nt vs 1-6 nt"
"pam_dist_binPAM",-0.865863803626065,0.264048727804376,-3.27918187989738,0.00104108514251826,-1.38616897449577,-0.349294074076428,0.4206880038094,0.250031348621338,0.705185722934707,"Edit position","PAM-overlap vs 1-6 nt"
"deepcpf1_score",1.56540804875404,0.400013240133478,3.91339058735078,9.10091468791477e-05,0.785131715599757,2.35480138457929,4.78462689866474,2.19269573394719,10.5360360346388,"Guide score","DeepCpf1 score"
"pam_upstream_ntA",0.35876643935286,0.223605422336348,1.60446216198283,0.108612218460806,-0.0785348639214456,0.798872504820105,1.4315624058804,0.924469828726216,2.22303305589574,"PAM upstream base","PAM 5' A vs C"
"pam_upstream_ntG",0.661595434065297,0.258607534625237,2.55829914245945,0.0105185565178565,0.158960797253134,1.17424698771817,1.93788163173142,1.1722919887138,3.23570550025858,"PAM upstream base","PAM 5' G vs C"
"pam_upstream_ntT",0.601379516972921,0.206382684804029,2.91390490216736,0.00356938621123691,0.197570497163027,1.00741134950522,1.82463417880703,1.21843895843187,2.73850280494725,"PAM upstream base","PAM 5' T vs C"
"guide_gc_20",-1.15981771105327,0.864493527554643,-1.34161526267755,0.179720774837811,-2.8616725585248,0.531278870363372,0.313543331157107,0.0571730549709449,1.70110641269974,"GC content","Guide GC (first 20 nt)"
"donor_wt_gc",-3.5245262492016,1.71528437627767,-2.0547766294299,0.0399005845145497,-6.90198775154293,-0.170563526469434,0.029465763491964,0.00100578419164727,0.84318952307372,"GC content","WT donor GC"
"dr_spacer_pair_anyTRUE",-0.199428316752916,0.17339945795337,-1.15010922817617,0.250098886013725,-0.539113001478883,0.141283232294614,0.81919894154839,0.583265378523189,1.15175081481818,"DR folding","Any DR-spacer pairing"
