"parameter","parameter_pretty","parameter_group","parameter_value","outcome_state","design_count","total_designs","fraction","value_order"
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q1 lowest","Intended edit only",81,137,0.591240875912409,1
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q1 lowest","Other variants observed",3,137,0.0218978102189781,1
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q1 lowest","Unedited",53,137,0.386861313868613,1
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q2","Intended edit only",94,138,0.681159420289855,2
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q2","Other variants observed",6,138,0.0434782608695652,2
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q2","Unedited",38,138,0.27536231884058,2
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q3","Intended edit only",90,130,0.692307692307692,3
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q3","Other variants observed",6,130,0.0461538461538462,3
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q3","Unedited",34,130,0.261538461538462,3
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q4 highest","Intended edit only",94,125,0.752,4
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q4 highest","Other variants observed",4,125,0.032,4
"deepcpf1_quartile","DeepCpf1 quartile","Core cassette parameters","Q4 highest","Unedited",27,125,0.216,4
"pam","PAM","Core cassette parameters","TTTA","Intended edit only",116,167,0.694610778443114,2
"pam","PAM","Core cassette parameters","TTTA","Other variants observed",7,167,0.0419161676646707,2
"pam","PAM","Core cassette parameters","TTTA","Unedited",44,167,0.263473053892216,2
"pam","PAM","Core cassette parameters","TTTC","Intended edit only",128,157,0.815286624203822,1
"pam","PAM","Core cassette parameters","TTTC","Other variants observed",5,157,0.0318471337579618,1
"pam","PAM","Core cassette parameters","TTTC","Unedited",24,157,0.152866242038217,1
"pam","PAM","Core cassette parameters","TTTG","Intended edit only",115,206,0.558252427184466,3
"pam","PAM","Core cassette parameters","TTTG","Other variants observed",7,206,0.0339805825242718,3
"pam","PAM","Core cassette parameters","TTTG","Unedited",84,206,0.407766990291262,3
"pam_upstream_nt","5' PAM base","Core cassette parameters","A","Intended edit only",90,134,0.671641791044776,2
"pam_upstream_nt","5' PAM base","Core cassette parameters","A","Other variants observed",5,134,0.0373134328358209,2
"pam_upstream_nt","5' PAM base","Core cassette parameters","A","Unedited",39,134,0.291044776119403,2
"pam_upstream_nt","5' PAM base","Core cassette parameters","C","Intended edit only",64,113,0.566371681415929,1
"pam_upstream_nt","5' PAM base","Core cassette parameters","C","Other variants observed",5,113,0.0442477876106195,1
"pam_upstream_nt","5' PAM base","Core cassette parameters","C","Unedited",44,113,0.389380530973451,1
"pam_upstream_nt","5' PAM base","Core cassette parameters","G","Intended edit only",55,77,0.714285714285714,3
"pam_upstream_nt","5' PAM base","Core cassette parameters","G","Other variants observed",3,77,0.038961038961039,3
"pam_upstream_nt","5' PAM base","Core cassette parameters","G","Unedited",19,77,0.246753246753247,3
"pam_upstream_nt","5' PAM base","Core cassette parameters","T","Intended edit only",150,206,0.728155339805825,4
