"term","estimate","std.error","statistic","p.value","conf.low","conf.high","odds_ratio","odds_ratio_low","odds_ratio_high","feature_group","term_label","selected_model"
"pamTTTC",0.38088020318,0.244394457482098,1.55846497954194,0.11912306344778,-0.096724749301777,0.862624487291294,1.46357226360422,0.90780584594035,2.36937092468522,"PAM","TTTC vs TTTA","main_effects"
"pamTTTG",-0.233186210159847,0.226097700660706,-1.03135153289232,0.302376000420378,-0.677662113343254,0.209679542467849,0.792006080213567,0.507802791063496,1.23328278186848,"PAM","TTTG vs TTTA","main_effects"
"pam_upstream_ntA",0.151520038676471,0.271787388019963,0.557494738002124,0.577189453267378,-0.381061964920175,0.685886125695183,1.16360161861243,0.683135557868059,1.98553048581153,"PAM upstream base","PAM 5' A vs C","main_effects"
"pam_upstream_ntG",0.542622963945402,0.31870414002156,1.70259151295836,0.0886445394477429,-0.0778020523624684,1.1741800920696,1.72051379449095,0.925147539189334,3.23548905288032,"PAM upstream base","PAM 5' G vs C","main_effects"
"pam_upstream_ntT",0.467330904581231,0.251634314495488,1.85718273566227,0.0632851603589756,-0.0252532665884948,0.962615301903366,1.59572935021457,0.97506292989167,2.61853578771862,"PAM upstream base","PAM 5' T vs C","main_effects"
"pam_dist_bin7-11",0.0344396801642591,0.275319870150578,0.12508970073763,0.900452536872991,-0.502952355745788,0.578470665813955,1.03503959307485,0.604742606218221,1.78330906870564,"Edit position","7-11 nt vs 1-6 nt","main_effects"
"pam_dist_bin12-17",-0.190781819668495,0.247246535728982,-0.771625855569599,0.440336056085065,-0.676329121039903,0.294240464881354,0.826312853697627,0.508480139625517,1.34210659437051,"Edit position","12-17 nt vs 1-6 nt","main_effects"
"pam_dist_bin18-23",-1.47805347999962,0.325776212656179,-4.53702088298123,5.70544588744246e-06,-2.13487505567612,-0.85326475497374,0.228081221229827,0.118259365290034,0.426021802274716,"Edit position","18-23 nt vs 1-6 nt","main_effects"
"pam_dist_binPAM",-0.744951356867722,0.314034449129768,-2.37219629544492,0.0176826935807782,-1.36570101327661,-0.131382179750352,0.474757393064918,0.255201713478497,0.876882583576673,"Edit position","PAM-overlap vs 1-6 nt","main_effects"
"deepcpf1_score",1.14865095725457,0.47963891820502,2.3948243431814,0.0166283293314823,0.212826543283042,2.09586066310596,3.15393524498785,1.23717003717805,8.13243724776245,"Guide score","DeepCpf1 score","main_effects"
"guide_gc_20",0.946594823998538,1.021727269643,0.926465263405649,0.354204241182287,-1.04861869622082,2.96359568221271,2.57691983677691,0.35042145344088,19.3674860300102,"GC content","Guide GC (first 20 nt)","main_effects"
"donor_wt_gc",-0.52753644022834,2.01180967178684,-0.262219854902972,0.793151946814841,-4.47633170383489,3.42356935505034,0.59005682082981,0.0113750638174579,30.6787230805272,"GC content","WT donor GC","main_effects"
"dr_spacer_pair_anyTRUE",-0.101780978029281,0.205809857850888,-0.494538886971211,0.620925650121908,-0.505098237354608,0.302744190422512,0.903227356641927,0.603446291547813,1.3535681644505,"DR folding","Any DR-spacer pairing","main_effects"
