"chr","bin_id","assayed_designs","edited_designs","bin_start","bin_end","chr_len","chr_gap","genome_start","genome_end","genome_mid","chr_label","chromosome_label_angle","chromosome_label_hjust","bin_width_bp","genome_bin_start","genome_bin_end","bin_padding_bp","bin_plot_start","bin_plot_end","design_success_rate","design_success_lower","design_success_upper","assayed_count_scaled"
"chrI",1,8,7,1,100000,230218,50000,0,230218,115109,"I",86.780499538276,0,100000,0,100000,5000,5000,95000,0.875,0.529111817787147,0.977582508549943,0.666666666666667
"chrI",2,10,5,100001,200000,230218,50000,0,230218,115109,"I",86.780499538276,0,100000,100000,200000,5000,105000,195000,0.5,0.236593090512564,0.763406909487436,0.833333333333333
"chrI",3,1,0,200001,230218,230218,50000,0,230218,115109,"I",86.780499538276,0,30218,200000,230218,2417.44,202417.44,227800.56,0,0,0.793450685622763,0.0833333333333333
"chrII",1,2,2,1,100000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,280218,380218,5000,285218,375218,1,0.342380227506653,1,0.166666666666667
"chrII",2,11,9,100001,200000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,380218,480218,5000,385218,475218,0.818181818181818,0.523019438039156,0.948632310253915,0.916666666666667
"chrII",3,1,0,200001,300000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,480218,580218,5000,485218,575218,0,0,0.793450685622763,0.0833333333333333
"chrII",4,5,1,300001,400000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,580218,680218,5000,585218,675218,0.2,0.0362241086324301,0.624465370237475,0.416666666666667
"chrII",5,8,5,400001,500000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,680218,780218,5000,685218,775218,0.625,0.305742394602627,0.863155714176403,0.666666666666667
"chrII",6,11,7,500001,600000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,780218,880218,5000,785218,875218,0.636363636363636,0.353801174507849,0.848335289046324,0.916666666666667
"chrII",7,3,3,600001,700000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,880218,980218,5000,885218,975218,1,0.438502968244955,1,0.25
"chrII",8,4,2,700001,800000,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,100000,980218,1080218,5000,985218,1075218,0.5,0.15003898915215,0.84996101084785,0.333333333333333
"chrII",9,0,0,800001,813184,813184,50000,280218,1093402,686810,"II",70.7905106280425,0,13184,1080218,1093402,1054.72,1081272.72,1092347.28,NA,NA,NA,0
"chrIII",1,3,3,1,100000,316620,50000,1143402,1460022,1301712,"III",53.5922266283987,0,100000,1143402,1243402,5000,1148402,1238402,1,0.438502968244955,1,0.25
"chrIII",2,1,0,100001,200000,316620,50000,1143402,1460022,1301712,"III",53.5922266283987,0,100000,1243402,1343402,5000,1248402,1338402,0,0,0.793450685622763,0.0833333333333333
"chrIII",3,5,1,200001,300000,316620,50000,1143402,1460022,1301712,"III",53.5922266283987,0,100000,1343402,1443402,5000,1348402,1438402,0.2,0.0362241086324301,0.624465370237475,0.416666666666667
"chrIII",4,0,0,300001,316620,316620,50000,1143402,1460022,1301712,"III",53.5922266283987,0,16620,1443402,1460022,1329.6,1444731.6,1458692.4,NA,NA,NA,0
"chrIV",1,3,3,1,100000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,1510022,1610022,5000,1515022,1605022,1,0.438502968244955,1,0.25
"chrIV",2,7,5,100001,200000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,1610022,1710022,5000,1615022,1705022,0.714285714285714,0.358934451832619,0.917781075995943,0.583333333333333
"chrIV",3,5,4,200001,300000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,1710022,1810022,5000,1715022,1805022,0.8,0.375534629762525,0.96377589136757,0.416666666666667
"chrIV",4,2,2,300001,400000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,1810022,1910022,5000,1815022,1905022,1,0.342380227506653,1,0.166666666666667
"chrIV",5,4,4,400001,500000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,1910022,2010022,5000,1915022,2005022,1,0.510109163545403,1,0.333333333333333
"chrIV",6,2,0,500001,600000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2010022,2110022,5000,2015022,2105022,0,0,0.657619772493347,0.166666666666667
"chrIV",7,3,1,600001,700000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2110022,2210022,5000,2115022,2205022,0.333333333333333,0.0614919447203963,0.792340399197952,0.25
"chrIV",8,4,2,700001,800000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2210022,2310022,5000,2215022,2305022,0.5,0.15003898915215,0.84996101084785,0.333333333333333
"chrIV",9,2,1,800001,900000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2310022,2410022,5000,2315022,2405022,0.5,0.0945312057342307,0.905468794265769,0.166666666666667
"chrIV",10,1,1,900001,1000000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2410022,2510022,5000,2415022,2505022,1,0.206549314377237,1,0.0833333333333333
"chrIV",11,2,0,1000001,1100000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2510022,2610022,5000,2515022,2605022,0,0,0.657619772493347,0.166666666666667
"chrIV",12,0,0,1100001,1200000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2610022,2710022,5000,2615022,2705022,NA,NA,NA,0
"chrIV",13,0,0,1200001,1300000,1531933,50000,1510022,3041955,2275988.5,"IV",26.3425446608997,0,100000,2710022,2810022,5000,2715022,2805022,NA,NA,NA,0
